"acceptedScientificName","datasetKey","n"
"Anadara antiquata (Linnaeus, 1758)","0214a6a7-898f-4ee8-b888-0be60ecde81f",1
"Anadara antiquata (Linnaeus, 1758)","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",2
"Anadara antiquata (Linnaeus, 1758)","4ffe66a0-6c8b-11de-8226-b8a03c50a862",2
"Anadara antiquata (Linnaeus, 1758)","5a6977c1-ece6-44b8-b71d-43cb1d4e0919",2
"Anadara antiquata (Linnaeus, 1758)","793c3890-6c8a-11de-8226-b8a03c50a862",4
"Anadara antiquata (Linnaeus, 1758)","7dc0d8a3-57da-4090-a959-69a0aad10285",4
"Anadara antiquata (Linnaeus, 1758)","7eef086c-8e58-4b31-830e-2696d3158301",19
"Anadara antiquata (Linnaeus, 1758)","85b1cfb6-f762-11e1-a439-00145eb45e9a",1
"Anadara antiquata (Linnaeus, 1758)","86b50d88-f762-11e1-a439-00145eb45e9a",1
"Anadara antiquata (Linnaeus, 1758)","9c30b6b3-177b-49f4-bfeb-91e1da24ecd4",7
"Anadara antiquata (Linnaeus, 1758)","a307e4d7-1de2-4adc-95d5-a0a8d5f57236",1
"Anadara antiquata (Linnaeus, 1758)","a79c2b50-6c8a-11de-8226-b8a03c50a862",3
"Anadara antiquata (Linnaeus, 1758)","b5441d39-7564-4c70-bd9d-b90236808892",84
"Anadara antiquata (Linnaeus, 1758)","bb5b30b4-827e-4d5e-a86a-825d65cb6583",3
"Anadara antiquata (Linnaeus, 1758)","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3",1
"Anadara antiquata (Linnaeus, 1758)","cf6753c5-0af6-45d3-bc90-ee1078dca8c4",1
"Anadara antiquata (Linnaeus, 1758)","cf8c1737-4702-4a16-93c9-e3da9ccece7a",10
"Anadara antiquata (Linnaeus, 1758)","dce8feb0-6c89-11de-8225-b8a03c50a862",9
"Anadara antiquata (Linnaeus, 1758)","f64810a1-cfa6-440e-8cb1-8241453d3336",1
"Bohadschia argus Jaeger, 1833","4bfac3ea-8763-4f4b-a71a-76a6f5f243d3",1
"Bohadschia argus Jaeger, 1833","50c9509d-22c7-4a22-a47d-8c48425ef4a7",32
"Bohadschia argus Jaeger, 1833","6461be2b-49e4-4a4e-a0de-a90eae602e78",36
"Bohadschia argus Jaeger, 1833","7447a228-a4cf-414b-87e4-3aba15275580",4
"Bohadschia argus Jaeger, 1833","7eef086c-8e58-4b31-830e-2696d3158301",65
"Bohadschia argus Jaeger, 1833","8138eb72-f762-11e1-a439-00145eb45e9a",2
"Bohadschia argus Jaeger, 1833","85b1cfb6-f762-11e1-a439-00145eb45e9a",7
"Bohadschia argus Jaeger, 1833","9c30b6b3-177b-49f4-bfeb-91e1da24ecd4",58
"Bohadschia argus Jaeger, 1833","9ccfd70c-6d44-45f3-8c39-5e920f9a08d5",2
"Bohadschia argus Jaeger, 1833","a79c2b50-6c8a-11de-8226-b8a03c50a862",1
