"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","occurrenceRemarks","identifiedBy","identificationID","stateProvince","vernacularName","dataGeneralizations","taxonConceptID","locality","individualCount","continent","institutionKey","collectionKey","preparations","higherGeography","coordinatePrecision","depth","depthAccuracy","organismQuantity","organismQuantityType","http://rs.tdwg.org/dwc/terms/organismQuantity","footprintWKT","http://rs.tdwg.org/dwc/terms/organismQuantityType","lifeStage","http://unknown.org/language","http://unknown.org/rights","http://unknown.org/rightsHolder","identificationRemarks","associatedSequences","projectId","programmeAcronym","eventID","samplingEffort","samplingProtocol","datasetID","language","name","georeferenceProtocol","island","dynamicProperties","eventRemarks","materialSampleID","type","fieldNumber","associatedReferences","bibliographicCitation","county","footprintSRS","otherCatalogNumbers","institutionID","nomenclaturalCode","disposition","locationID","ownerInstitutionCode","collectionID","parentNameUsage","locationRemarks","waterBody","endDayOfYear","verbatimCoordinateSystem","startDayOfYear","higherClassification","georeferencedBy","georeferenceVerificationStatus","georeferenceRemarks","georeferenceSources","higherGeographyID","created"
"3113322853","Holothuria atra Jaeger, 1833",-14.949232,145.720081,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:07:57.014+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2021-05-08T06:13:11",6730,2021,4,16,"2021-04-16T10:14:00","2021-05-08T13:28:09.000+00:00","2021-05-18T12:07:57.014+00:00","https://www.inaturalist.org/observations/77849597","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","AU","Australia","Jens Sommer-Knudsen","77849597","jenssommer01","2021/04/16 10:14 AM AEST","iNaturalist research-grade observations","3113322853","Cook, QLD, Australia","Observations","https://www.inaturalist.org/observations/77849597","55946","77849597","Jens Sommer-Knudsen","https://www.inaturalist.org/observations/77849597","iNaturalist","© Jens Sommer-Knudsen some rights reserved","00:14:00Z","Goggle Gardens Not sure if this is H. atra or H. leucospilota","Anne Hoggett","172846157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2557768512","Holothuria atra Jaeger, 1833",-17.760967,168.280842,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T11:59:03.694+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2020-01-12T12:42:14",NA,2020,1,12,"2020-01-12T14:33:56","2020-01-13T08:46:20.000+00:00","2021-05-18T11:59:03.694+00:00","https://www.inaturalist.org/observations/37517114","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","VU","Vanuatu","gregharper","37517114","gregharper","Sun Jan 12 2020 14:33:56 GMT+1100 (GMT+11)","iNaturalist research-grade observations","2557768512","Coral Sea, Vanuatu, VU","Observations","https://www.inaturalist.org/observations/37517114","55946","37517114","gregharper","https://www.inaturalist.org/observations/37517114","iNaturalist","© gregharper some rights reserved","03:33:56Z",NA,"Frédéric Ducarme","83352493","Shefa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2814290229","Holothuria atra Jaeger, 1833",-16.759113,145.970901,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:51:17.460+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2020-07-04T22:38:49",178,2020,7,4,"2020-07-04T13:28:00","2020-07-04T23:55:20.000+00:00","2021-05-18T12:51:17.460+00:00","https://www.inaturalist.org/observations/51887040","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","AU","Australia","apteryxrowi","51887040","apteryxrowi","2020/07/04 1:28 PM EDT","iNaturalist research-grade observations","2814290229","Green Island QLD 4871, Australia","Observations","https://www.inaturalist.org/observations/51887040","55946","51887040","apteryxrowi","https://www.inaturalist.org/observations/51887040","iNaturalist","© apteryxrowi some rights reserved","17:28:00Z",NA,"Frédéric Ducarme","114908176","Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2898423582","Holothuria atra Jaeger, 1833",-16.759723,145.973802,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:00:01.680+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2020-10-09T08:02:06",406,2020,10,5,"2020-10-05T12:54:00","2020-10-09T08:50:36.000+00:00","2021-05-18T12:00:01.680+00:00","https://www.inaturalist.org/observations/62083793","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","AU","Australia","David Muirhead","62083793","davemmdave","2020/10/05 12:54 PM ACDT","iNaturalist research-grade observations","2898423582","Green Island, QLD 4871, Australia","Observations","https://www.inaturalist.org/observations/62083793","55946","62083793","David Muirhead","https://www.inaturalist.org/observations/62083793","iNaturalist","© David Muirhead some rights reserved","02:24:00Z","I saw only 1 or 2 of these,in seagrass only.","Frédéric Ducarme","135421601","Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2432510206","Holothuria atra Jaeger, 1833",-14.64677,145.452094,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:25.835+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC",NA,80.4,2019,6,1,"2019-06-01T00:00:00",NA,"2021-05-07T20:59:25.835+00:00","https://biocache.ala.org.au/occurrences/7bab7d9c-e765-46ea-b2c3-596ac035741f","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Holothuroidea","AU","Australia",NA,"7bab7d9c-e765-46ea-b2c3-596ac035741f",NA,NA,NA,"2432510206",NA,NA,"7bab7d9c-e765-46ea-b2c3-596ac035741f",NA,"urn:lirs.australianmuseum.net.au:identification:f47p1bEc","Anne Hoggett",NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=f47p1bEc","Anne Hoggett",NA,"Queensland","Lollyfish (Sea Cucumber)","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Holothuria (Halodeima) atra]]","urn:lsid:biodiversity.org.au:afd.taxon:61909dbd-807a-430a-a758-be798b50a818","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2540906503","Holothuria atra Jaeger, 1833",-17.775579,168.29414,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:49.060+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2019-12-21T14:01:00",211,2019,6,4,"2019-06-04T00:00:00","2019-12-22T07:19:26.000+00:00","2021-05-18T12:25:49.060+00:00","https://www.inaturalist.org/observations/36770158","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","VU","Vanuatu","barrymit","36770158","barrymit","2019/06/04 11:43 AM UTC","iNaturalist research-grade observations","2540906503","Pango Road Efate, Port Vila, Vanuatu","Observations","https://www.inaturalist.org/observations/36770158","55946","36770158","barrymit","https://www.inaturalist.org/observations/36770158","iNaturalist","© barrymit some rights reserved",NA,"Not sure if this is also a black sea cucumber","Frédéric Ducarme","81175167","Shefa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2429235599","Holothuria atra Jaeger, 1833",-18.107159,177.320446,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:19.235+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2019-09-21T01:04:31",4,2019,8,28,"2019-08-28T08:15:22","2019-10-18T16:41:51.000+00:00","2021-05-18T12:25:19.235+00:00","https://www.inaturalist.org/observations/31646215","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","FJ","Fiji","Judd Patterson","31646215","juddpatterson","Wed Aug 28 2019 08:15:22 GMT+1200 (GMT+12)","iNaturalist research-grade observations","2429235599","Natadola Beach, Fiji, FJ","Observations","https://www.inaturalist.org/observations/31646215","55946","31646215","Judd Patterson","https://www.inaturalist.org/observations/31646215","iNaturalist","© Judd Patterson some rights reserved","20:15:22Z",NA,"Frédéric Ducarme","71691462","Western",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946312033","Holothuria atra Jaeger, 1833",-17.16654,177.192728,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:25:09.935+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2018-11-13T04:10:40",8,2018,11,12,"2018-11-12T20:05:00","2018-11-25T10:25:40.000+00:00","2021-05-18T12:25:09.935+00:00","https://www.inaturalist.org/observations/18366060","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","FJ","Fiji","wconnor19","18366060","wconnor19","2018/11/12 8:05 PM HST","iNaturalist research-grade observations","1946312033","Ba, FJ-W, FJ","Observations","https://www.inaturalist.org/observations/18366060","55946","18366060","wconnor19","https://www.inaturalist.org/observations/18366060","iNaturalist","© wconnor19 some rights reserved","06:05:00Z",NA,"wconnor19","39493586","Western",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294431232","Holothuria atra Jaeger, 1833",-18.748541,147.260041,"cdround,cudc,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:24:59.013+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2019-06-27T01:23:15",800,2017,1,15,"2017-01-15T10:45:00","2019-12-14T05:40:12.000+00:00","2021-05-18T12:24:59.013+00:00","https://www.inaturalist.org/observations/27731744","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Holothuroidea","AU","Australia","Matthew Connors","27731744","matthew_connors","2017-01-15 10:45","iNaturalist research-grade observations","2294431232","Hinchinbrook, QLD, Australia","Observations","https://www.inaturalist.org/observations/27731744","55946","27731744","Matthew Connors","https://www.inaturalist.org/observations/27731744","iNaturalist","© Matthew Connors some rights reserved","00:45:00Z","Holothuria atra Identified as Holothuria atra on <a href=""http://www.bowerbird.org.au/observations/82053"">Bowerbird</a> by Matthew Connors: ""Many of these seen""","Matthew Connors","60416893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677260765","Holothuria atra Jaeger, 1833",-19.046322,178.397172,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-18T09:31:41.707+00:00","2021-05-18T12:24:32.731+00:00",265,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2279167,1,50,222,9505681,9548,2279143,2279167,2279167,"Holothuria atra Jaeger, 1833","Animalia","Echinodermata","Holothuriida","Holothuriidae","Holothuria","Holothuria atra","Holothuria","atra","SPECIES","ACCEPTED","LC","2016-05-14T00:15:32",NA,2016,4,26,"2016-04-26T09:15:20","2017-10-14T07:47:19.000+00:00","2021-05-18T12:24:32.731+00:00","https://www.inaturalist.org/observations/3168191","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Holothuroidea","FJ","Fiji","Mark Rosenstein","3168191","maractwin","2016-04-26 09:15:20","iNaturalist research-grade observations","1677260765","Kadavu, Eastern, Fiji","Observations","http://www.inaturalist.org/observations/3168191","55946","3168191","Mark Rosenstein","http://www.inaturalist.org/observations/3168191","iNaturalist","© Mark Rosenstein some rights reserved","13:15:20Z",NA,"Mark Rosenstein","6118247","Eastern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria atra Jaeger, 1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
