"x","y","id5","ns1.name6","ns1.open","ns1.name7","ns1.styleUrl8","id9","ns1.color","ns1.colorMode","ns1.href10","ns1.color11","ns1.colorMode12","ns1.color13","ns1.colorMode14","schemaUrl","ns1.SimpleData","name15","Longitude","Latitude","Column2"
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","6","FID_",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","11/1/1985","Collection",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","11/1/1985","YYYY_MM_DD",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","Laucala Harbor, Laucala Bay","LOCATION",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","Viti Levu","Island_Gro",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","Fiji","Country_la",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","FJI","Country_IS",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","State_Prov",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","HP","SPECIES",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","CR",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","CS",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","EA",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","1","HP",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HU",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HC",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HD",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HV",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HM",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HO",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HOb",178.443709,-18.161082,0
178.443709,-18.161082,"layer 0","PICT_SG_SPP",1,6,"#pointStyleMap","inline","ff00ffaa","normal","http://maps.google.com/mapfiles/kml/pushpin/ltblu-pushpin.png","ff00ffaa","normal","ff00ffaa","normal","#S_PICT_SG_SPP_DSSSSSSSSSSSSSSSSSSSSSSSSSDDDDDSSSSS","","HS",178.443709,-18.161082,0
