"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateuncertaintyinmeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","recordNumber","vernacularName","dataGeneralizations","taxonConceptID","occurrenceRemarks","locality","elevation","elevationAccuracy","depth","depthAccuracy","waterBody","type","ownerInstitutionCode","samplingProtocol","datasetID","nameAccordingTo","georeferenceSources","individualCount","otherCatalogNumbers","identificationRemarks","institutionKey","fieldNumber","projectId","programmeAcronym","eventID","samplingEffort","language","dynamicProperties","footprintWKT","bibliographicCitation","accessRights","coordinatePrecision","continent","organismQuantity","organismQuantityType","collectionKey","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","nomenclaturalCode","georeferencedBy","preparations","disposition","http...rs.tdwg.org.dwc.terms.organismQuantityType","collectionID","higherGeography","locationID","startDayOfYear","higherClassification","locationRemarks","endDayOfYear","georeferenceProtocol","verbatimCoordinateSystem","name"
2825371266,"Tridacna gigas (Linnaeus, 1758)",-14.68489,145.441821,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:25.989+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,96.9,"Queensland",2019,12,2,"2019-12-02T00:00:00",NA,"2021-05-07T20:59:25.989+00:00","https://biocache.ala.org.au/occurrences/28aca40a-0c9b-423e-810a-fc60b861929d","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"28aca40a-0c9b-423e-810a-fc60b861929d",NA,NA,NA,NA,2825371266,NA,NA,"28aca40a-0c9b-423e-810a-fc60b861929d",NA,"urn:lirs.australianmuseum.net.au:identification:UDZuDp4R","Fabio Cortesi",NA,NA,NA,NA,"Fabio Cortesi",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=UDZuDp4R","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
2825370653,"Tridacna gigas (Linnaeus, 1758)",-14.689222,145.467626,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:23.707+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,64.8,"Queensland",2018,2,11,"2018-02-11T00:00:00",NA,"2021-05-07T20:59:23.707+00:00","https://biocache.ala.org.au/occurrences/ebc3af31-990c-4b93-b607-c98c0d57b5d1","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"ebc3af31-990c-4b93-b607-c98c0d57b5d1",NA,NA,NA,NA,2825370653,NA,NA,"ebc3af31-990c-4b93-b607-c98c0d57b5d1",NA,"urn:lirs.australianmuseum.net.au:identification:9aHDl5tU","Anne Hoggett",NA,NA,NA,NA,"Anne Hoggett",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=9aHDl5tU","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
2432510294,"Tridacna gigas (Linnaeus, 1758)",-14.687125,145.443939,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:26.194+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,102,"Queensland",2018,10,16,"2018-10-16T00:00:00",NA,"2021-05-07T20:59:26.194+00:00","https://biocache.ala.org.au/occurrences/9865a076-5a2e-4261-a535-680338a12618","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"9865a076-5a2e-4261-a535-680338a12618",NA,NA,NA,NA,2432510294,NA,NA,"9865a076-5a2e-4261-a535-680338a12618",NA,"urn:lirs.australianmuseum.net.au:identification:VrNC6tjF","David Sellars",NA,NA,NA,NA,"David Sellars",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=VrNC6tjF","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
2432510085,"Tridacna gigas (Linnaeus, 1758)",-14.68703,145.443874,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:23.661+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,62.6,"Queensland",2018,12,20,"2018-12-20T00:00:00",NA,"2021-05-07T20:59:23.661+00:00","https://biocache.ala.org.au/occurrences/71cfebf6-3aa3-4cbb-9214-3d6818bbb361","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"71cfebf6-3aa3-4cbb-9214-3d6818bbb361",NA,NA,NA,NA,2432510085,NA,NA,"71cfebf6-3aa3-4cbb-9214-3d6818bbb361",NA,"urn:lirs.australianmuseum.net.au:identification:W7DmAcxQ","Marianne Dwyer",NA,NA,NA,NA,"Marianne Dwyer",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=W7DmAcxQ","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1563377451,"Tridacna gigas (Linnaeus, 1758)",-14.8279,145.727,"cdreps","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","1989b627-2a61-44db-83e4-392efc5da0a9","49a3c55e-5701-41a5-9a22-d9d4b79c23fa","FR","DWC_ARCHIVE","2021-05-10T15:04:30.186+00:00","2021-05-10T15:04:49.260+00:00",286,"1989b627-2a61-44db-83e4-392efc5da0a9","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2017-02-25T00:00:00",100,NA,2017,2,25,"2017-02-25T15:50:00","2018-05-07T13:21:28.000+00:00","2021-05-10T15:04:49.260+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","Diveboard","diveboard:353346_2926830_0",NA,NA,NA,"Diveboard - Scuba diving citizen science",1563377451,"Ribbon Reefs, Ribbon Reefs","Diveboard","diveboard:353346_2926830_0","http://eol.org/pages/2926830","diveboard:353346_2926830_0","Anonymous",NA,"Diveboard","http://creativecommons.org/publicdomain/zero/1.0/",NA,"Anonymous",NA,NA,NA,NA,NA,"Non validated citizen science record","Ribbon Reefs",0,0,6.4,6.4,"Ribbon Reefs, Lizard Island, QLD","Event","Diveboard","citizen science scuba dive observation","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","EOL","Google Maps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1946389608,"Tridacna gigas (Linnaeus, 1758)",-14.8279,145.727,"cdreps","66f6192f-6cc0-45fd-a2d1-e76f5ae3eab2","1989b627-2a61-44db-83e4-392efc5da0a9","49a3c55e-5701-41a5-9a22-d9d4b79c23fa","FR","DWC_ARCHIVE","2021-05-10T15:04:30.186+00:00","2021-05-10T15:04:49.175+00:00",286,"1989b627-2a61-44db-83e4-392efc5da0a9","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU","2017-02-25T00:00:00",100,NA,2017,2,25,"2017-02-25T15:50:00","2018-02-03T01:01:40.000+00:00","2021-05-10T15:04:49.175+00:00","https://www.diveboard.com/dfico/D2vHDIC","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia","Diveboard","diveboard:387105_2926830_0",NA,NA,NA,"Diveboard - Scuba diving citizen science",1946389608,"Ribbon Reefs, Ribbon Reefs","Diveboard","diveboard:387105_2926830_0","http://eol.org/pages/2926830","diveboard:387105_2926830_0","Dfico",NA,"Diveboard","http://creativecommons.org/publicdomain/zero/1.0/",NA,"Dfico",NA,NA,NA,NA,NA,"Non validated citizen science record","Ribbon Reefs",0,0,6.4,6.4,"Ribbon Reefs, Lizard Island, QLD","Event","Diveboard","citizen science scuba dive observation","https://ipt.diveboard.com/resource.do?r=diveboard-occurrences","EOL","Google Maps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1936744041,"Tridacna gigas (Linnaeus, 1758)",-14.687621,145.465417,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:25.748+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,65.6,"Queensland",2017,3,5,"2017-03-05T00:00:00",NA,"2021-05-07T20:59:25.748+00:00","https://biocache.ala.org.au/occurrences/61d07a0f-e62f-42c9-93cd-3cc54d435366","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"61d07a0f-e62f-42c9-93cd-3cc54d435366",NA,NA,NA,NA,1936744041,NA,NA,"61d07a0f-e62f-42c9-93cd-3cc54d435366",NA,"urn:lirs.australianmuseum.net.au:identification:4ICgsdrH","Anne Hoggett",NA,NA,NA,NA,"Anne Hoggett",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=4ICgsdrH","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1936748877,"Tridacna gigas (Linnaeus, 1758)",-14.697557,145.448577,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:25.922+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,65.8,"Queensland",2017,7,8,"2017-07-08T00:00:00",NA,"2021-05-07T20:59:25.922+00:00","https://biocache.ala.org.au/occurrences/a1b51cba-033f-46e7-8a25-2a8ef15107d4","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"a1b51cba-033f-46e7-8a25-2a8ef15107d4",NA,NA,NA,NA,1936748877,NA,NA,"a1b51cba-033f-46e7-8a25-2a8ef15107d4",NA,"urn:lirs.australianmuseum.net.au:identification:f3llBlgn","Andy Lewis",NA,NA,NA,NA,"Andy Lewis",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=f3llBlgn","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1936750361,"Tridacna gigas (Linnaeus, 1758)",-14.663369,145.450637,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:25.928+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,90.7,"Queensland",2017,7,8,"2017-07-08T00:00:00",NA,"2021-05-07T20:59:25.928+00:00","https://biocache.ala.org.au/occurrences/b4931001-f47a-41ef-a2ac-a63f8f06730f","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"b4931001-f47a-41ef-a2ac-a63f8f06730f",NA,NA,NA,NA,1936750361,NA,NA,"b4931001-f47a-41ef-a2ac-a63f8f06730f",NA,"urn:lirs.australianmuseum.net.au:identification:R64GGi3t","Andy Lewis",NA,NA,NA,NA,"Andy Lewis",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=R64GGi3t","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
1936752726,"Tridacna gigas (Linnaeus, 1758)",-14.703132,145.460211,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:22.621+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372619,1,52,137,9529005,6858,4372618,4372619,4372619,"Tridacna gigas (Linnaeus, 1758)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna gigas","Tridacna","gigas","SPECIES","ACCEPTED","VU",NA,14.1,"Queensland",2016,1,30,"2016-01-30T00:00:00",NA,"2021-05-07T20:59:22.621+00:00","https://biocache.ala.org.au/occurrences/d3206d27-461f-4e02-97ee-5ea2b832901f","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"d3206d27-461f-4e02-97ee-5ea2b832901f",NA,NA,NA,NA,1936752726,NA,NA,"d3206d27-461f-4e02-97ee-5ea2b832901f",NA,"urn:lirs.australianmuseum.net.au:identification:Nah8r1Pu","Anne Hoggett",NA,NA,NA,NA,"Anne Hoggett",NA,NA,"Giant Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna gigas]]","urn:lsid:biodiversity.org.au:afd.taxon:c669dda8-a2fc-48f2-9391-1c46658a9a97","http://lifg.australianmuseum.net.au/HotSpot.html?identification=Nah8r1Pu","Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna gigas (Linnaeus, 1758)"
