"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateuncertaintyinmeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","occurrenceRemarks","identifiedBy","identificationID","identificationRemarks","depth","eventID","footprintWKT","county","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","institutionKey","dynamicProperties","georeferenceProtocol","island","locality","eventRemarks","language","materialSampleID","type","associatedSequences","lifeStage","establishmentMeans","vernacularName","samplingProtocol","projectId","programmeAcronym","individualCount","samplingEffort","name","depthAccuracy","fieldNumber","preparations","disposition","otherCatalogNumbers","habitat","institutionID","islandGroup","locationAccordingTo","recordNumber","georeferencedDate","higherGeography","nomenclaturalCode","georeferencedBy","georeferenceVerificationStatus","organismID","previousIdentifications","identificationQualifier","accessRights","higherClassification","collectionID","georeferenceSources","dataGeneralizations","taxonConceptID","locationRemarks","waterBody","collectionKey","endDayOfYear","verbatimCoordinateSystem","locationID","startDayOfYear","georeferenceRemarks","ownerInstitutionCode","infraspecificEpithet","continent","higherGeographyID"
"3019299395","Tridacna maxima (Röding, 1798)",-20.78745,167.1205,"cum,gass84,colmano,inmano","25e3e8f1-86ee-440c-adfc-8e63759a6505","1928bdf0-f5d2-11dc-8c12-b8a03c50a862","07ea29ef-e386-4278-ae0f-095778a1b061","FR","DWC_ARCHIVE","2021-03-01T17:20:50.242+00:00","2021-03-09T19:00:36.178+00:00",122,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,25,NA,2010,6,10,"2010-06-10T00:00:00","2021-01-15T00:00:00.000+00:00","2021-03-09T19:00:36.178+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","NC","New Caledonia",NA,"6469eb5e-ddfc-4369-b554-6e24d1d0987f_",NA,NA,NA,NA,NA,"3019299395",NA,"6469eb5e-ddfc-4369-b554-6e24d1d0987f_","459569",NA,"eric AMIEL (BioObs)",NA,"BioObs",NA,NA,NA,"eric AMIEL (Les amis de BioObs)",NA,NA,8,"6469eb5e-ddfc-4369-b554-6e24d1d0987f","POINT (167.12049572467 -20.78744501083)","ZMNCLMTIL","Control could not be conclusive due to insufficient knowledge","Tridacna maxima (Röding, 1798)","4A9DDA1F-B7E7-3E13-E053-2614A8C02B7C","TAXREF v12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336660983","Tridacna maxima (Röding, 1798)",-8.346583,157.559933,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.407+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,11,"2010-12-11T00:00:00",NA,"2021-03-30T11:46:46.407+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22176",NA,NA,NA,NA,NA,"2336660983",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22176",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22176",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Hepai Village","2","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22176","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661081","Tridacna maxima (Röding, 1798)",-8.346583,157.559933,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.860+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,11,"2010-12-11T00:00:00",NA,"2021-03-30T11:46:46.860+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22175",NA,NA,NA,NA,NA,"2336661081",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22175",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22175",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Morphology",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","trispp_16S_all","Handheld GPS","Liggins/Keyse","Hepai Village","2","en","https://n2t.net/https://n2t.net/ark:/21547/re22175","PhysicalObject","trispp_16S_all","Adult",NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661142","Tridacna maxima (Röding, 1798)",-8.34555,157.3666,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:49.169+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:49.169+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/rg22145",NA,NA,NA,NA,NA,"2336661142",NA,"https://n2t.net/https://n2t.net/ark:/21547/rg22145",NA,"https://n2t.net/https://n2t.net/ark:/21547/rg22145",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Morphology",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","trispp_COI_all","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/rg22145","PhysicalObject","trispp_COI_all","Adult",NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661143","Tridacna maxima (Röding, 1798)",-8.34555,157.3666,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.981+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:46.981+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22145",NA,NA,NA,NA,NA,"2336661143",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22145",NA,"https://n2t.net/https://n2t.net/ark:/21547/re22145",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Morphology",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","trispp_16S_all","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/re22145","PhysicalObject","trispp_16S_all","Adult",NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661253","Tridacna maxima (Röding, 1798)",-8.34555,157.3666,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.410+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:46.410+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22145",NA,NA,NA,NA,NA,"2336661253",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22145",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22145",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22145","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661275","Tridacna maxima (Röding, 1798)",-8.346583,157.559933,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.407+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,11,"2010-12-11T00:00:00",NA,"2021-03-30T11:46:46.407+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22173",NA,NA,NA,NA,NA,"2336661275",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22173",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22173",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Hepai Village","2","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22173","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661298","Tridacna maxima (Röding, 1798)",-8.33745,157.375583,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:47.204+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:47.204+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22084",NA,NA,NA,NA,NA,"2336661298",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22084",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22084",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22084","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661344","Tridacna maxima (Röding, 1798)",-8.33745,157.375583,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:47.204+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:47.204+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22085",NA,NA,NA,NA,NA,"2336661344",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22085",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22085",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22085","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336661383","Tridacna maxima (Röding, 1798)",-8.34555,157.3666,"gass84,colmano,inmafu","89d78af0-ad71-4136-9812-fb1d415ec933","9a23b798-ee7e-4593-9348-7016fdca9960","01f4444c-8912-45bf-89b1-d2257376b43a","US","DWC_ARCHIVE","2021-03-26T17:05:39.712+00:00","2021-03-30T11:46:46.410+00:00",187,"9a23b798-ee7e-4593-9348-7016fdca9960","PRESERVED_SPECIMEN","PRESENT",4372625,1,52,137,9529005,6858,4372618,4372625,4372625,"Tridacna maxima (Röding, 1798)","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna maxima","Tridacna","maxima","SPECIES","ACCEPTED",NA,NA,NA,2010,12,10,"2010-12-10T00:00:00",NA,"2021-03-30T11:46:46.410+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"WGS84","Bivalvia","SB","Solomon Islands",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22144",NA,NA,NA,NA,NA,"2336661383",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22144",NA,"https://n2t.net/https://n2t.net/ark:/21547/AtY22144",NA,NA,"UQ",NA,NA,NA,"Liggins/Keyse",NA,"Genetics",NA,NA,NA,NA,NA,NA,NA,NA,"17381c36-b96e-409c-9966-4eacc6ce076a","Tridacnaspecies_variouslocations_COI","Handheld GPS","Liggins/Keyse","Tombatuni island","3","en","https://n2t.net/https://n2t.net/ark:/21547/AtY22144","PhysicalObject","Tridacnaspecies_variouslocations_COI",NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna maxima (Röding, 1798)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
