"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","stateProvince","year","month","day","eventDate","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","recordNumber","identifier","recordedBy","vernacularName","dataGeneralizations","taxonConceptID","gbifID","occurrenceID","identifiedBy","dateIdentified","coordinateuncertaintyinmeters","modified","rightsHolder","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","taxonID","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identificationRemarks","occurrenceRemarks","identificationID","locality","individualCount","depth","eventID","footprintWKT","county","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","depthAccuracy","institutionKey","fieldNumber","elevation","elevationAccuracy","waterBody","type","ownerInstitutionCode","samplingProtocol","georeferenceSources","georeferenceProtocol","island","dynamicProperties","eventRemarks","materialSampleID","language","associatedSequences","lifeStage","establishmentMeans","projectId","programmeAcronym","samplingEffort","preparations","disposition","otherCatalogNumbers","locationRemarks","collectionKey","institutionID","higherGeography","locationID","startDayOfYear","higherClassification","endDayOfYear","verbatimCoordinateSystem","continent","islandGroup","higherGeographyID","nomenclaturalCode","georeferencedBy","georeferenceVerificationStatus","georeferenceRemarks","habitat","locationAccordingTo","georeferencedDate","organismID","previousIdentifications","identificationQualifier","accessRights","collectionID","name"
2874839328,"Tridacna squamosa Lamarck, 1819",-14.645996,145.455684,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:24.900+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2020,8,8,"2020-08-08T00:00:00","2021-05-07T20:59:24.900+00:00","https://biocache.ala.org.au/occurrences/70918941-c36c-40bc-bd61-9e9b7f733fe9","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"70918941-c36c-40bc-bd61-9e9b7f733fe9","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb",2874839328,"70918941-c36c-40bc-bd61-9e9b7f733fe9","Anne Hoggett",NA,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:NHcZOCMs",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=NHcZOCMs",NA,"Lizard island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
2978450301,"Tridacna squamosa Lamarck, 1819",-14.646754,145.451952,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:22.282+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2020,10,3,"2020-10-03T00:00:00","2021-05-07T20:59:22.282+00:00","https://biocache.ala.org.au/occurrences/d94da838-c072-4835-b391-879758e63ce8","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"d94da838-c072-4835-b391-879758e63ce8","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb",2978450301,"d94da838-c072-4835-b391-879758e63ce8","Anne Hoggett",NA,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:mwJPrd2y",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=mwJPrd2y",NA,"Lizard Island, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
2825370893,"Tridacna squamosa Lamarck, 1819",-14.663203,145.664341,"cudc","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:24.591+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2019,12,1,"2019-12-01T00:00:00","2021-05-07T20:59:24.591+00:00","https://biocache.ala.org.au/occurrences/0b04fc19-efb4-41e1-bf96-22081dad8a86","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"0b04fc19-efb4-41e1-bf96-22081dad8a86","Anne Hoggett","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb",2825370893,"0b04fc19-efb4-41e1-bf96-22081dad8a86","Anne Hoggett",NA,95.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:Qp0BynUE",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=Qp0BynUE",NA,"Ribbon Reef 10, Queensland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1936746668,"Tridacna squamosa Lamarck, 1819",-14.697557,145.448577,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:24.656+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2017,7,9,"2017-07-09T00:00:00","2021-05-07T20:59:24.656+00:00","https://biocache.ala.org.au/occurrences/851de664-5515-4b3c-8735-5bcedc85d8af","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"851de664-5515-4b3c-8735-5bcedc85d8af","Andy Lewis","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb",1936746668,"851de664-5515-4b3c-8735-5bcedc85d8af","Andy Lewis",NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:LKWUjKtq",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=LKWUjKtq",NA,"Lizard Island, Queensland",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1936749908,"Tridacna squamosa Lamarck, 1819",-14.663369,145.450637,"","c6ca96bc-7cf5-4fe7-ac44-d01e06394ef3","770c30d2-c2a8-4bb2-8056-6167297cddae","19893c10-381e-4534-9bb8-6c37d03ad29e","AU","DWC_ARCHIVE","2021-05-07T20:56:00.849+00:00","2021-05-07T20:59:22.283+00:00",170,"3c5e4331-7f2f-4a8d-aa56-81ece7014fc8","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED","Queensland",2017,7,9,"2017-07-09T00:00:00","2021-05-07T20:59:22.283+00:00","https://biocache.ala.org.au/occurrences/ae510abb-ea57-48d8-9e65-4b29a58e9427","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","AU","Australia",NA,"ae510abb-ea57-48d8-9e65-4b29a58e9427","Andy Lewis","Scaly Clam","Identification aligned to national taxonomy. Originally supplied as [[ Animalia | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | <not-supplied> | Tridacna squamosa]]","urn:lsid:biodiversity.org.au:afd.taxon:2c3780de-d81c-4136-99b7-3202460a97fb",1936749908,"ae510abb-ea57-48d8-9e65-4b29a58e9427","Andy Lewis",NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lirs.australianmuseum.net.au:identification:nX2mZ8Y3",NA,NA,NA,NA,NA,"http://lifg.australianmuseum.net.au/HotSpot.html?identification=nX2mZ8Y3",NA,"Lizard Island, Queensland",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
3019217187,"Tridacna squamosa Lamarck, 1819",-20.68428,164.23187,"cum,gass84,colmano,inmano","25e3e8f1-86ee-440c-adfc-8e63759a6505","1928bdf0-f5d2-11dc-8c12-b8a03c50a862","07ea29ef-e386-4278-ae0f-095778a1b061","FR","DWC_ARCHIVE","2021-03-01T17:20:50.242+00:00","2021-03-09T19:00:34.768+00:00",122,"1928bdf0-f5d2-11dc-8c12-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2017,8,11,"2017-08-11T00:00:00","2021-03-09T19:00:34.768+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Bivalvia","NC","New Caledonia",NA,"ef1330d1-8345-4f51-a4c0-7504969a17c6_","Brigitte Fournier, isabelle defrance (REVE BLEU CALEDONIE)",NA,NA,NA,3019217187,"ef1330d1-8345-4f51-a4c0-7504969a17c6_","Brigitte Fournier (Les amis de BioObs)",NA,25,"2021-01-15T00:00:00.000+00:00",NA,NA,NA,NA,NA,NA,NA,"459568",NA,NA,"BioObs",NA,NA,NA,NA,NA,NA,NA,30,"ef1330d1-8345-4f51-a4c0-7504969a17c6","POINT (164.23187217448003 -20.684281577140002)","ZMNCLMTPN","Control could not be conclusive due to insufficient knowledge","Tridacna squamosa Lamarck, 1819","4A9DDA1F-B7E7-3E13-E053-2614A8C02B7C","TAXREF v12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1413053199,"Tridacna squamosa Lamarck, 1819",-2.687333,150.687378,"gass84,osiic,incomis,inmafu","0214a6a7-898f-4ee8-b888-0be60ecde81f","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-19T10:51:58.389+00:00","2021-05-19T10:56:30.669+00:00",341,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2014,6,6,"2014-06-06T00:00:00","2021-05-19T10:56:30.669+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50382",NA,NA,NA,NA,1413053199,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50382","Bouchet P.",NA,NA,NA,NA,NA,NA,NA,NA,"NW corner of Manne I.","IM",NA,"2013-50382",NA,"MNHN",NA,NA,NA,NA,NA,"Kavieng Lagoon",1,6,NA,NA,NA,NA,NA,NA,NA,5,"cc3e1f45-e430-4835-951e-4dd33c4b7201","KAVIENG 2014/KR07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1413053240,"Tridacna squamosa Lamarck, 1819",-2.687333,150.687378,"gass84,osiic,incomis,inmafu","0214a6a7-898f-4ee8-b888-0be60ecde81f","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-19T10:51:58.389+00:00","2021-05-19T10:56:30.654+00:00",341,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2014,6,6,"2014-06-06T00:00:00","2021-05-19T10:56:30.654+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50383",NA,NA,NA,NA,1413053240,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50383","Bouchet P.",NA,NA,NA,NA,NA,NA,NA,NA,"NW corner of Manne I.","IM",NA,"2013-50383",NA,"MNHN",NA,NA,NA,NA,NA,"Kavieng Lagoon",1,6,NA,NA,NA,NA,NA,NA,NA,5,"cc3e1f45-e430-4835-951e-4dd33c4b7201","KAVIENG 2014/KR07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1413053285,"Tridacna squamosa Lamarck, 1819",-2.566817,150.784744,"gass84,osiic,incomis,inmafu","0214a6a7-898f-4ee8-b888-0be60ecde81f","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-19T10:51:58.389+00:00","2021-05-19T10:56:27.877+00:00",341,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2014,6,7,"2014-06-07T00:00:00","2021-05-19T10:56:27.877+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50414",NA,NA,NA,NA,1413053285,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50414","Bouchet P.",NA,NA,NA,NA,NA,NA,NA,NA,"NE corner of Nusa I.","IM",NA,"2013-50414",NA,"MNHN",NA,NA,NA,NA,NA,"Kavieng Lagoon",1,10,NA,NA,NA,NA,NA,NA,NA,8,"cc3e1f45-e430-4835-951e-4dd33c4b7201","KAVIENG 2014/KR32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
1413053602,"Tridacna squamosa Lamarck, 1819",-2.75275,150.718521,"gass84,osiic,incomis,inmafu","0214a6a7-898f-4ee8-b888-0be60ecde81f","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-19T10:51:58.389+00:00","2021-05-19T10:56:30.638+00:00",341,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",4372624,1,52,137,9529005,6858,4372618,4372624,4372624,"Tridacna squamosa Lamarck, 1819","Animalia","Mollusca","Cardiida","Cardiidae","Tridacna","Tridacna squamosa","Tridacna","squamosa","SPECIES","ACCEPTED",NA,2014,6,10,"2014-06-10T00:00:00","2021-05-19T10:56:30.638+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Bivalvia","PG","Papua New Guinea",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50907",NA,NA,NA,NA,1413053602,"http://coldb.mnhn.fr/catalognumber/mnhn/im/2013-50907","Bouchet P.",NA,NA,NA,NA,NA,NA,NA,NA,"Middle of Albatross Channel","IM",NA,"2013-50907",NA,"MNHN",NA,NA,NA,NA,NA,"Kavieng Lagoon",1,16,NA,NA,NA,NA,NA,NA,NA,8,"cc3e1f45-e430-4835-951e-4dd33c4b7201","KAVIENG 2014/KB22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tridacna squamosa Lamarck, 1819"
